emp_no,first_name,last_name,to_date,from_date,title
10095,Hilari,Morton,9999-01-01,1994-03-10,Senior Staff
10095,Hilari,Morton,9999-01-01,1994-03-10,Staff
10122,Ohad,Esposito,9999-01-01,1998-08-06,Technique Leader
10291,Dipayan,Seghrouchni,9999-01-01,1987-03-30,Senior Staff
10291,Dipayan,Seghrouchni,9999-01-01,1987-03-30,Staff
10476,Kokou,Iisaka,9999-01-01,1987-09-20,Senior Staff
10476,Kokou,Iisaka,9999-01-01,1987-09-20,Staff
10663,Teunis,Noriega,9999-01-01,1993-01-23,Technique Leader
10762,Lech,Himler,9999-01-01,1992-01-21,Senior Staff
10762,Lech,Himler,9999-01-01,1992-01-21,Staff
10933,Juyoung,Seghrouchni,9999-01-01,1993-08-02,Senior Engineer
12155,Keiichiro,Glinert,9999-01-01,1993-09-16,Engineer
12155,Keiichiro,Glinert,9999-01-01,1993-09-16,Senior Engineer
12408,Rasiah,Sudkamp,9999-01-01,1995-04-18,Senior Engineer
12643,Morrie,Schurmann,9999-01-01,1998-12-31,Staff
13499,Kazuhiko,Sidou,9999-01-01,1991-09-01,Technique Leader
14075,Denny,Tchuente,9999-01-01,1991-05-30,Assistant Engineer
14075,Denny,Tchuente,9999-01-01,1991-05-30,Engineer
14104,Sudhanshu,Demian,9999-01-01,1994-07-23,Senior Staff
14104,Sudhanshu,Demian,9999-01-01,1994-07-23,Staff
14127,Magdalena,Cannard,9999-01-01,1994-04-22,Engineer
14127,Magdalena,Cannard,9999-01-01,1994-04-22,Senior Engineer
14158,Caolyn,Setiz,9999-01-01,1990-02-06,Senior Staff
14158,Caolyn,Setiz,9999-01-01,1990-02-06,Staff
14476,Sastry,Marrevee,9999-01-01,1999-09-25,Engineer
14907,Nakhoon,Luga,9999-01-01,1986-12-18,Senior Staff
14907,Nakhoon,Luga,9999-01-01,1986-12-18,Staff
15050,Nikolaos,Kruskal,9999-01-01,1990-12-17,Engineer
15050,Nikolaos,Kruskal,9999-01-01,1990-12-17,Senior Engineer
15058,Bouchung,Bugrara,9999-01-01,1990-06-18,Senior Staff
15058,Bouchung,Bugrara,9999-01-01,1990-06-18,Staff
15413,Arvin,Rabejac,9999-01-01,1994-01-01,Engineer
15413,Arvin,Rabejac,9999-01-01,1994-01-01,Senior Engineer
16461,Remmert,Schahn,9999-01-01,1986-09-06,Senior Staff
16461,Remmert,Schahn,9999-01-01,1986-09-06,Staff
16528,Gaurav,Swick,9999-01-01,1996-05-07,Assistant Engineer
16528,Gaurav,Swick,9999-01-01,1996-05-07,Engineer
17013,Morris,Garigliano,9999-01-01,1995-05-24,Senior Staff
17013,Morris,Garigliano,9999-01-01,1995-05-24,Staff
17206,Berry,DeMori,9999-01-01,1992-12-27,Engineer
17206,Berry,DeMori,9999-01-01,1992-12-27,Senior Engineer
17369,Yaghout,Kenevan,9999-01-01,1993-01-28,Engineer
17369,Yaghout,Kenevan,9999-01-01,1993-01-28,Senior Engineer
17447,Zengping,Boreale,9999-01-01,1998-12-16,Staff
17731,Gennady,Roison,9999-01-01,1989-12-06,Assistant Engineer
17731,Gennady,Roison,9999-01-01,1989-12-06,Engineer
17970,Filipp,Carrere,9999-01-01,1989-01-09,Technique Leader
17988,Mabhin,Calkin,9999-01-01,1989-11-30,Engineer
17988,Mabhin,Calkin,9999-01-01,1989-11-30,Senior Engineer
18021,Adil,Matzke,9999-01-01,1987-05-08,Engineer
18021,Adil,Matzke,9999-01-01,1987-05-08,Senior Engineer
18424,Filipp,Rousseau,9999-01-01,1995-06-07,Engineer
18424,Filipp,Rousseau,9999-01-01,1995-06-07,Senior Engineer
18583,Stafford,Honglei,9999-01-01,1998-08-16,Staff
18617,Surveyors,Crouzet,9999-01-01,1989-04-24,Senior Staff
18617,Surveyors,Crouzet,9999-01-01,1989-04-24,Staff
18810,Taiji,Jarecki,9999-01-01,1991-06-27,Engineer
18810,Taiji,Jarecki,9999-01-01,1991-06-27,Senior Engineer
19236,Elzbieta,Morris,9999-01-01,1988-07-12,Engineer
19236,Elzbieta,Morris,9999-01-01,1988-07-12,Senior Engineer
19350,Satoru,Yoshizawa,9999-01-01,1994-03-27,Senior Staff
19350,Satoru,Yoshizawa,9999-01-01,1994-03-27,Staff
19803,Ziva,Kowalchuk,9999-01-01,1987-06-13,Engineer
19803,Ziva,Kowalchuk,9999-01-01,1987-06-13,Senior Engineer
20100,Utz,Heuter,9999-01-01,1986-06-15,Senior Staff
20100,Utz,Heuter,9999-01-01,1986-06-15,Staff
20128,Kazunori,Peak,9999-01-01,1999-08-13,Senior Staff
20129,Rafael,Skafidas,9999-01-01,1991-03-28,Engineer
20129,Rafael,Skafidas,9999-01-01,1991-03-28,Senior Engineer
20248,Vidar,Demri,9999-01-01,1999-12-31,Staff
20313,Candida,Benveniste,9999-01-01,1999-01-20,Engineer
20500,Christoph,Trystram,9999-01-01,1993-10-15,Senior Staff
20500,Christoph,Trystram,9999-01-01,1993-10-15,Staff
20885,Otmar,Rothenberg,9999-01-01,1989-03-14,Engineer
20885,Otmar,Rothenberg,9999-01-01,1989-03-14,Senior Engineer
21181,Jianhui,Cangellaris,9999-01-01,1991-10-06,Assistant Engineer
21181,Jianhui,Cangellaris,9999-01-01,1991-10-06,Engineer
21188,Piyush,Danecki,9999-01-01,2000-01-08,Engineer
21546,Yongmin,Lanteri,9999-01-01,1988-02-16,Senior Staff
21843,Karsten,Azadmanesh,9999-01-01,1985-11-29,Senior Engineer
21909,Mohammed,Brizzi,9999-01-01,1991-12-28,Senior Staff
21909,Mohammed,Brizzi,9999-01-01,1991-12-28,Staff
22185,Huai,Birch,9999-01-01,1996-03-26,Assistant Engineer
22185,Huai,Birch,9999-01-01,1996-03-26,Engineer
22415,Perla,Jumpertz,9999-01-01,1994-08-24,Senior Staff
22451,Jasminko,Bresenham,9999-01-01,1987-12-16,Senior Staff
22451,Jasminko,Bresenham,9999-01-01,1987-12-16,Staff
22455,Barry,Unno,9999-01-01,1990-11-16,Senior Staff
22455,Barry,Unno,9999-01-01,1990-11-16,Staff
22926,Manibrata,Genther,9999-01-01,1988-01-15,Engineer
22926,Manibrata,Genther,9999-01-01,1988-01-15,Senior Engineer
23396,Hilari,Fairtlough,9999-01-01,1986-12-15,Technique Leader
24080,Jaana,Perez,9999-01-01,1996-03-11,Technique Leader
24205,Roddy,Rubsam,9999-01-01,1993-09-19,Senior Engineer
24377,Lubomir,Wroclawski,9999-01-01,1993-07-25,Engineer
24377,Lubomir,Wroclawski,9999-01-01,1993-07-25,Senior Engineer
24394,Zhonghui,Conta,9999-01-01,1994-09-10,Staff
24553,Anwar,Passafiume,9999-01-01,1987-01-30,Senior Staff
24553,Anwar,Passafiume,9999-01-01,1987-01-30,Staff
24571,Cordelia,Gischer,9999-01-01,1989-03-14,Engineer
24571,Cordelia,Gischer,9999-01-01,1989-03-14,Senior Engineer
25488,Ingmar,Basawa,9999-01-01,1991-11-09,Senior Staff
25488,Ingmar,Basawa,9999-01-01,1991-11-09,Staff
26629,Nevin,Rodham,9999-01-01,1998-12-14,Senior Staff
26671,Jiakeng,Kalorkoti,9999-01-01,1994-12-25,Engineer
26671,Jiakeng,Kalorkoti,9999-01-01,1994-12-25,Senior Engineer
26788,Zongyan,Dalphin,9999-01-01,1988-04-23,Engineer
26788,Zongyan,Dalphin,9999-01-01,1988-04-23,Senior Engineer
27331,Wanqing,Krohm,9999-01-01,1991-01-22,Senior Staff
27331,Wanqing,Krohm,9999-01-01,1991-01-22,Staff
27378,Piyawadee,Leppanen,9999-01-01,1999-02-25,Senior Staff
27620,Shuji,Kandlur,9999-01-01,1990-03-02,Engineer
27620,Shuji,Kandlur,9999-01-01,1990-03-02,Senior Engineer
27686,Manu,Rosiles,9999-01-01,1998-03-03,Senior Staff
27699,Falguni,Pezzoli,9999-01-01,1996-12-23,Engineer
27767,Tooru,Veldwijk,9999-01-01,1993-11-21,Senior Staff
27767,Tooru,Veldwijk,9999-01-01,1993-11-21,Staff
28193,Xinglin,Mitsuhashi,9999-01-01,1988-12-14,Engineer
28193,Xinglin,Mitsuhashi,9999-01-01,1988-12-14,Senior Engineer
28974,Chenxi,Sundgren,9999-01-01,1986-09-02,Senior Engineer
28988,Tua,Giveon,9999-01-01,1998-09-09,Technique Leader
29130,Xumin,Thorensen,9999-01-01,1998-04-26,Staff
29265,Gilbert,Calkin,9999-01-01,1988-03-21,Senior Staff
29265,Gilbert,Calkin,9999-01-01,1988-03-21,Staff
29380,Satoru,Vidal,9999-01-01,1998-05-02,Assistant Engineer
29418,Valery,Mersereau,9999-01-01,1998-07-01,Assistant Engineer
29679,Kolar,Steenbeek,9999-01-01,1986-10-18,Senior Engineer
29782,Jouko,Hellwagner,9999-01-01,1994-12-21,Senior Engineer
29954,Pranay,Giarratana,9999-01-01,1992-09-29,Senior Engineer
30007,Kousuke,Vecchio,9999-01-01,1990-02-23,Engineer
30007,Kousuke,Vecchio,9999-01-01,1990-02-23,Senior Engineer
30035,Tetsushi,Conta,9999-01-01,1995-07-04,Senior Staff
30154,Mayuko,Skafidas,9999-01-01,1999-04-19,Technique Leader
30182,Leon,Potthoff,9999-01-01,1985-12-08,Engineer
30182,Leon,Potthoff,9999-01-01,1985-12-08,Senior Engineer
30465,Randi,Avouris,9999-01-01,1986-07-16,Engineer
30465,Randi,Avouris,9999-01-01,1986-07-16,Senior Engineer
30484,Sailaja,Chvatal,9999-01-01,1999-05-18,Staff
30695,Gudjon,Majewski,9999-01-01,1999-10-26,Senior Engineer
30938,Yakkov,Samarati,9999-01-01,1995-05-23,Senior Staff
30938,Yakkov,Samarati,9999-01-01,1995-05-23,Staff
31147,Divine,Sidhu,9999-01-01,1989-07-05,Senior Staff
31188,Leandro,Gist,9999-01-01,1993-02-03,Technique Leader
31207,Abdelwaheb,Dulin,9999-01-01,1993-08-05,Senior Engineer
31341,Oksana,Zultner,9999-01-01,1991-03-23,Senior Staff
31341,Oksana,Zultner,9999-01-01,1991-03-23,Staff
31514,Harngdar,Schapire,9999-01-01,1996-11-09,Engineer
31514,Harngdar,Schapire,9999-01-01,1996-11-09,Senior Engineer
31568,Mark,Lalonde,9999-01-01,1996-11-24,Staff
31909,Murthy,Peek,9999-01-01,1994-07-19,Engineer
32347,Terresa,Peres,9999-01-01,1990-09-15,Senior Staff
32347,Terresa,Peres,9999-01-01,1990-09-15,Staff
32552,Atreye,Stanger,9999-01-01,1993-09-10,Assistant Engineer
32552,Atreye,Stanger,9999-01-01,1993-09-10,Engineer
32649,Ingmar,Nannarelli,9999-01-01,1988-06-10,Senior Staff
32714,Radoslaw,Maliniak,9999-01-01,1997-11-17,Staff
32844,Tadahiko,Melton,9999-01-01,1995-01-07,Engineer
33025,Jessie,Thorelli,9999-01-01,1999-12-16,Senior Staff
33215,Steen,Fasbender,9999-01-01,1993-02-14,Technique Leader
33722,Anwar,Collette,9999-01-01,1994-03-22,Senior Engineer
34077,Angel,Sichman,9999-01-01,1988-11-16,Senior Staff
34077,Angel,Sichman,9999-01-01,1988-11-16,Staff
34261,Kyoichi,Callaway,9999-01-01,1990-12-30,Senior Staff
34261,Kyoichi,Callaway,9999-01-01,1990-12-30,Staff
34446,Chinhyun,Bauknecht,9999-01-01,1986-12-19,Senior Engineer
34452,Naftaly,Foong,9999-01-01,1991-05-10,Engineer
34452,Naftaly,Foong,9999-01-01,1991-05-10,Senior Engineer
34505,Felicidad,Kumaresan,9999-01-01,1994-09-06,Senior Staff
34505,Felicidad,Kumaresan,9999-01-01,1994-09-06,Staff
34533,Erzsebet,Shigei,9999-01-01,1991-01-21,Senior Engineer
34780,Moni,Kohling,9999-01-01,1994-07-21,Staff
34788,Ennio,Babu,9999-01-01,1994-08-31,Senior Engineer
34936,Bokyung,Stamatiou,9999-01-01,1991-02-12,Technique Leader
35044,Jiang,Waschkowski,9999-01-01,1989-05-27,Engineer
35044,Jiang,Waschkowski,9999-01-01,1989-05-27,Senior Engineer
35087,Leif,Ashish,9999-01-01,1994-10-14,Senior Staff
35087,Leif,Ashish,9999-01-01,1994-10-14,Staff
35441,Chandrasekaran,Peek,9999-01-01,1988-02-07,Engineer
35441,Chandrasekaran,Peek,9999-01-01,1988-02-07,Senior Engineer
35642,Ashish,Talmon,9999-01-01,1995-06-13,Engineer
35642,Ashish,Talmon,9999-01-01,1995-06-13,Senior Engineer
35793,Oscar,Kusalik,9999-01-01,1991-05-11,Senior Staff
35793,Oscar,Kusalik,9999-01-01,1991-05-11,Staff
35798,Ulf,Oberman,9999-01-01,1997-03-15,Senior Engineer
36521,Serif,Gladwell,9999-01-01,1987-03-06,Senior Staff
36521,Serif,Gladwell,9999-01-01,1987-03-06,Staff
36626,Fen,Genin,9999-01-01,1986-05-09,Senior Staff
36733,Uma,Reinhard,9999-01-01,1997-11-01,Staff
36844,Hailing,Levergood,9999-01-01,2000-01-12,Staff
36982,Kotesh,Rajala,9999-01-01,1992-06-23,Engineer
